scene,structure,build_ms,bytes
city,brick,0.0000,84934656
city,super,1.0987,147456
city,csdf,170.0858,1179648
city,brickcol,59.3445,1216512
city,hx,78.0128,1198080
city,odf,166.3756,9437184
