scene,method,mult,frame,psnr,ssim,gpsnr,flicker,rays,ms,steps
bunker,PTD,0.60,61,31.8237,0.82334,31.9082,0.001191,99026,62.850,3224548
bunker,PTD,0.60,62,31.8579,0.82416,31.9301,0.001233,99987,66.495,3250806
bunker,PTD,0.60,63,31.8747,0.82461,31.9463,0.001153,101332,65.104,3292247
bunker,PTD,0.60,64,31.9045,0.82572,31.9636,0.001161,99851,64.719,3244529
bunker,PTD,0.60,65,31.9097,0.82625,31.9720,0.001111,99650,66.292,3257522
bunker,PTD,0.60,66,31.9594,0.82693,31.9899,0.001154,100589,65.000,3285001
bunker,PTD,0.60,67,31.9820,0.82783,32.0098,0.001099,99782,62.945,3243099
bunker,PTD,0.60,68,31.9909,0.82813,32.0213,0.001054,99997,68.665,3251231
bunker,PTD,0.60,69,32.0113,0.82878,32.0369,0.001053,100418,65.024,3262727
bunker,PTD,0.60,70,32.0093,0.82858,32.0353,0.001068,99258,63.726,3228048
bunker,PTD,0.60,71,32.0383,0.82902,32.0518,0.001062,99590,62.902,3235127
bunker,PTD,0.60,72,32.0606,0.82963,32.0655,0.001065,99953,62.167,3250089
bunker,PTD,0.60,73,32.0919,0.83026,32.0827,0.001009,100024,63.054,3263951
bunker,PTD,0.60,74,32.1187,0.83073,32.0942,0.000993,99643,80.719,3242442
bunker,PTR,0.60,0,16.3540,0.30130,20.6051,0.000000,98397,56.540,3195647
bunker,PTR,0.60,1,18.8425,0.34350,21.2279,0.056245,100135,56.708,3256017
bunker,PTR,0.60,2,20.4172,0.37695,22.0158,0.038360,99129,55.698,3229627
bunker,PTR,0.60,3,21.5255,0.40116,22.6004,0.027949,99275,55.877,3228175
bunker,PTR,0.60,4,22.2600,0.43078,23.2853,0.021333,99379,56.424,3233880
bunker,PTR,0.60,5,22.9985,0.45416,23.8578,0.018641,100080,55.898,3260421
bunker,PTR,0.60,6,23.5654,0.47676,24.2802,0.015974,99340,55.262,3241208
bunker,PTR,0.60,7,24.0358,0.49445,24.6410,0.013679,99404,58.945,3233856
bunker,PTR,0.60,8,24.3401,0.51005,24.9444,0.012419,100414,56.470,3267781
bunker,PTR,0.60,9,24.6519,0.52893,25.2404,0.010453,100742,56.170,3285529
bunker,PTR,0.60,10,25.0040,0.54331,25.5742,0.009449,100360,55.703,3274603
bunker,PTR,0.60,11,25.3866,0.55810,25.9013,0.008738,101938,56.435,3325881
bunker,PTR,0.60,12,25.7176,0.57050,26.1788,0.007610,100318,55.602,3267550
bunker,PTR,0.60,13,25.9873,0.57844,26.4228,0.007239,100486,55.479,3271314
bunker,PTR,0.60,14,26.2666,0.59033,26.6612,0.006414,100300,55.698,3259249
bunker,PTR,0.60,15,26.4736,0.60261,26.8955,0.005643,101147,57.377,3297697
bunker,PTR,0.60,16,26.7527,0.61330,27.1577,0.005551,100329,55.652,3266883
bunker,PTR,0.60,17,26.9554,0.62416,27.3492,0.005229,98245,56.178,3202110
bunker,PTR,0.60,18,27.0824,0.63199,27.5235,0.004727,100428,55.884,3267101
bunker,PTR,0.60,19,27.2366,0.63988,27.6791,0.004469,100268,55.553,3277144
bunker,PTR,0.60,20,27.3711,0.64590,27.8395,0.004064,99876,55.876,3256128
bunker,PTR,0.60,21,27.5422,0.65465,28.0424,0.003921,98943,55.075,3224191
bunker,PTR,0.60,22,27.6862,0.66203,28.2110,0.003612,98917,58.005,3218944
bunker,PTR,0.60,23,27.8362,0.67037,28.3849,0.003527,100800,56.210,3281497
bunker,PTR,0.60,24,27.9815,0.67737,28.5218,0.003438,100356,57.405,3273651
bunker,PTR,0.60,25,28.0841,0.68234,28.6522,0.003243,99990,58.832,3254059
