scene,structure,build_ms,bytes
bunker,brick,0.0000,663552
bunker,super,0.0134,1152
bunker,csdf,1.2113,9216
bunker,brickcol,0.5518,19008
bunker,hx,0.6003,9360
bunker,odf,1.2016,73728
