"image","crop","mean_luma_err","rms_luma_err","grad_ratio","grad_err_rms","grad_corr","plane_res_ratio","lowfreq_res_ratio","lowfreq_err_rms","edge_luma_mae","edge_signed_luma_err","edge_grad_err_rms","edge_bright_frac","mean_green_opp_delta","green_opp_rmse","chroma_rmse","sat_ratio"
"bunker_PTCK_b0.35x_f149.ppm","doorway_slab","-0.00472","0.01951","0.9041","0.03305","0.8737","0.9865","0.9894","0.00603","0.02168","-0.01482","0.07447","0.1632","0.00137","0.00534","0.00624","0.9677"
"bunker_PTCK_b0.35x_f149.ppm","green_wall","-0.0126","0.02547","0.6767","0.03623","0.5565","0.971","1.0122","0.00726","0.02741","-0.02126","0.08157","0.1585","0.00159","0.01055","0.00994","1.0337"
"bunker_PTCL_b0.35x_f149.ppm","circle_wall","-0.00272","0.01844","0.9802","0.03317","0.9525","0.9927","0.9923","0.004","0.01948","-0.01265","0.07749","0.2065","0.00282","0.0082","0.00833","0.9774"
"bunker_PTCL_b0.35x_f149.ppm","ceiling_wall","-0.00395","0.01735","0.973","0.0282","0.9492","0.9915","0.9904","0.00509","0.02074","-0.01499","0.06223","0.1977","0.00207","0.00723","0.00745","0.9869"
"bunker_PTCL_b0.35x_f149.ppm","doorway_slab","-0.00472","0.01966","0.9057","0.0331","0.8733","0.9867","0.9893","0.00615","0.02174","-0.015","0.07455","0.1616","0.00138","0.00535","0.00624","0.9675"
"bunker_PTCL_b0.35x_f149.ppm","green_wall","-0.01272","0.02624","0.6895","0.03655","0.5499","0.9812","1.0174","0.00777","0.02769","-0.02125","0.08182","0.1662","0.00158","0.01054","0.00993","1.0328"
"bunker_PTCM_b0.35x_f149.ppm","circle_wall","-0.00271","0.0183","0.9796","0.0331","0.9527","0.9931","0.9931","0.00383","0.0194","-0.0127","0.07739","0.2065","0.00281","0.00704","0.00686","0.9686"
"bunker_PTCM_b0.35x_f149.ppm","ceiling_wall","-0.00383","0.01676","0.9711","0.02806","0.9497","0.9908","0.99","0.00464","0.02057","-0.01488","0.06223","0.1944","0.00205","0.00573","0.00591","0.9728"
"bunker_PTCM_b0.35x_f149.ppm","doorway_slab","-0.00448","0.01993","0.8997","0.03328","0.8717","0.9849","0.9884","0.00625","0.02239","-0.01351","0.07497","0.176","0.00129","0.00465","0.00541","0.9652"
"bunker_PTCM_b0.35x_f149.ppm","green_wall","-0.01213","0.02504","0.6577","0.03603","0.5594","0.9643","1.0131","0.00727","0.02744","-0.02039","0.0816","0.1677","0.00119","0.00862","0.00797","0.9155"
"bunker_PTCN_b0.35x_f149.ppm","circle_wall","-0.00273","0.01832","0.9796","0.03312","0.9526","0.993","0.993","0.00387","0.01942","-0.01273","0.07744","0.2086","0.00282","0.00724","0.00709","0.9703"
"bunker_PTCN_b0.35x_f149.ppm","ceiling_wall","-0.00385","0.01682","0.9711","0.02806","0.9496","0.9908","0.9901","0.00468","0.02059","-0.01489","0.06223","0.1944","0.00207","0.00598","0.00617","0.975"
