scene,method,mult,frame,psnr,ssim,flicker,rays,ms,steps
bunker,GFC,1.00,79,22.5421,0.34956,0.003572,96023,68.049,2980957
bunker,GFC,1.00,80,22.5718,0.35009,0.003504,96222,71.971,3023831
bunker,GFC,1.00,81,22.5813,0.34984,0.003678,96136,70.823,3018389
bunker,GFC,1.00,82,22.6034,0.34984,0.003530,96039,67.828,2961453
bunker,GFC,1.00,83,22.6164,0.35019,0.003256,95885,72.558,2972528
bunker,GFC,1.00,84,22.6325,0.35044,0.003377,97640,68.581,3062797
bunker,GFC,1.00,85,22.6291,0.35062,0.003330,97984,70.120,3097005
bunker,GFC,1.00,86,22.6103,0.35068,0.003552,95855,67.661,2972955
bunker,GFC,1.00,87,22.5945,0.35018,0.003549,96372,90.019,3032459
bunker,GFC,1.00,88,22.5914,0.35006,0.003260,96346,90.154,3031685
bunker,GFC,1.00,89,22.6173,0.34953,0.003231,95932,80.344,2956750
bunker,GFC,1.00,90,22.6005,0.34963,0.003377,96071,74.340,2979579
bunker,GFC,1.00,91,22.5801,0.34976,0.003150,97473,71.454,3044783
bunker,GFC,1.00,92,22.5757,0.34932,0.003378,98099,74.978,3099884
bunker,GFC,1.00,93,22.5776,0.34925,0.003403,95983,69.226,2976663
bunker,GFC,1.00,94,22.5908,0.34947,0.003147,96283,73.706,3018915
bunker,GFC,1.00,95,22.5948,0.34919,0.003217,96336,75.063,3028895
bunker,GFC,1.00,96,22.6038,0.34902,0.003103,96030,86.225,2966454
bunker,GFC,1.00,97,22.6130,0.34867,0.003046,95990,78.764,2966453
bunker,GFC,1.00,98,22.6304,0.34885,0.002998,97354,69.598,3040865
bunker,GFC,1.00,99,22.6453,0.34958,0.003289,98534,82.875,3116633
bunker,GFC,1.00,100,22.6605,0.34940,0.003049,96062,87.142,2984018
bunker,GFC,1.00,101,22.7023,0.34982,0.003327,96520,81.862,3018898
bunker,GFC,1.00,102,22.6755,0.34947,0.003319,96446,72.930,3035196
bunker,GFC,1.00,103,22.6728,0.34961,0.003003,96074,83.067,2977091
bunker,GFC,1.00,104,22.6864,0.35007,0.003309,96355,81.392,2978451
bunker,GFC,1.00,105,22.6898,0.35055,0.003161,97034,70.827,3030791
bunker,GFC,1.00,106,22.6934,0.35071,0.003032,98162,80.502,3103697
bunker,GFC,1.00,107,22.6605,0.35066,0.003252,96096,83.210,2988275
bunker,GFC,1.00,108,22.6474,0.35063,0.003198,96198,73.273,3015165
bunker,GFC,1.00,109,22.6453,0.35058,0.003035,96271,72.325,3036345
bunker,GFC,1.00,110,22.6648,0.35092,0.002949,96246,101.917,2982576
bunker,GFC,1.00,111,22.6795,0.35073,0.002887,95945,89.451,2966758
bunker,GFC,1.00,112,22.6722,0.35097,0.003138,96839,98.602,3013926
bunker,GFC,1.00,113,22.6929,0.35070,0.003069,98300,96.216,3102098
bunker,GFC,1.00,114,22.6993,0.35054,0.002963,96303,91.121,2995986
bunker,GFC,1.00,115,22.6768,0.35050,0.003132,96375,71.014,3020844
bunker,GFC,1.00,116,22.6846,0.35019,0.002992,96306,81.847,3032344
bunker,GFC,1.00,117,22.6799,0.35029,0.002861,96180,89.488,2988688
bunker,GFC,1.00,118,22.6766,0.35008,0.002879,96055,75.509,2976348
bunker,GFC,1.00,119,22.7068,0.35008,0.002991,96540,71.908,3001304
bunker,GFC,1.00,120,22.7169,0.35035,0.002984,98414,74.939,3107146
