scene,method,mult,frame,psnr,ssim,flicker,rays,ms,steps
bunker,PT,1.00,81,26.1693,0.59411,0.011074,208680,187.953,6793961
bunker,PT,1.00,82,26.4176,0.59362,0.011109,208142,198.676,6766151
bunker,PT,1.00,83,26.6684,0.59419,0.010819,208714,201.217,6805203
bunker,PT,1.00,84,26.7254,0.59499,0.010914,207177,175.206,6726322
bunker,PT,1.00,85,26.9237,0.59917,0.010318,207355,177.108,6754074
bunker,PT,1.00,86,27.0061,0.59873,0.010614,208682,191.461,6794228
bunker,PT,1.00,87,27.0509,0.59978,0.010564,208823,194.141,6812313
bunker,PT,1.00,88,27.2346,0.60310,0.010257,208027,173.373,6763800
bunker,PT,1.00,89,27.3700,0.60538,0.010418,207516,206.481,6747146
bunker,PT,1.00,90,27.4720,0.60808,0.010375,208956,174.240,6792942
bunker,PT,1.00,91,27.5392,0.60757,0.010364,208489,182.435,6786603
bunker,PT,1.00,92,27.6238,0.60836,0.010689,208448,203.905,6784897
bunker,PT,1.00,93,27.6021,0.60831,0.010704,208611,186.492,6797672
bunker,PT,1.00,94,27.4138,0.60861,0.010672,208080,170.114,6780504
bunker,PT,1.00,95,26.9884,0.60670,0.011306,207721,243.220,6774221
bunker,PT,1.00,96,27.1071,0.60998,0.010057,207830,210.808,6761395
bunker,PT,1.00,97,27.1344,0.60736,0.010678,207545,251.547,6761019
bunker,PT,1.00,98,26.6216,0.60182,0.011212,209710,242.605,6831697
bunker,PT,1.00,99,26.7588,0.60698,0.010321,210070,308.316,6835460
bunker,PT,1.00,100,26.7571,0.60599,0.010693,208238,224.655,6768291
bunker,PT,1.00,101,26.8130,0.60604,0.010488,207806,230.721,6767318
bunker,PT,1.00,102,26.7186,0.60050,0.010938,208573,246.258,6791069
bunker,PT,1.00,103,26.9791,0.60393,0.010385,207625,233.692,6758316
bunker,PT,1.00,104,26.9734,0.59866,0.010555,208941,226.594,6798892
bunker,PT,1.00,105,27.0136,0.59867,0.010418,208423,184.919,6799546
bunker,PT,1.00,106,27.1360,0.59956,0.009990,207733,224.708,6772786
bunker,PT,1.00,107,27.2829,0.60213,0.010354,209139,234.113,6798732
bunker,PT,1.00,108,27.4315,0.60597,0.010693,209010,216.655,6804850
bunker,PT,1.00,109,27.3103,0.60151,0.010510,207852,217.487,6768212
bunker,PT,1.00,110,27.3143,0.59915,0.010679,209363,205.766,6828958
bunker,PT,1.00,111,27.0016,0.59679,0.010664,207219,241.828,6748008
bunker,PT,1.00,112,27.0457,0.59604,0.010356,208115,188.124,6769602
bunker,PT,1.00,113,27.1422,0.59541,0.010711,207652,161.496,6766402
bunker,PT,1.00,114,27.2635,0.60102,0.009934,208002,172.209,6781907
bunker,PT,1.00,115,27.3280,0.59924,0.010604,208145,190.380,6774713
bunker,PT,1.00,116,27.0916,0.59887,0.010836,209406,187.896,6823281
bunker,PT,1.00,117,26.7924,0.59742,0.010732,207103,175.342,6730877
bunker,PT,1.00,118,27.0056,0.60193,0.010136,208225,191.325,6767076
bunker,PT,1.00,119,27.0263,0.60216,0.010496,208555,214.449,6785409
bunker,PT,1.00,120,27.1614,0.60251,0.010536,208826,258.781,6788854
bunker,PT,1.00,121,27.2612,0.60291,0.010658,208356,225.796,6780943
bunker,PT,1.00,122,27.2586,0.60072,0.010490,209170,187.879,6806743
bunker,PT,1.00,123,27.3682,0.60360,0.010587,208307,211.637,6774959
bunker,PT,1.00,124,27.4640,0.60461,0.010012,208600,228.369,6792322
bunker,PT,1.00,125,27.5424,0.60581,0.010351,208717,196.337,6792900
bunker,PT,1.00,126,27.5217,0.60395,0.010722,207993,195.221,6763008
bunker,PT,1.00,127,27.0593,0.59773,0.011127,208614,192.204,6784423
bunker,PT,1.00,128,27.0075,0.60240,0.010456,207634,256.332,6772191
bunker,PT,1.00,129,27.0980,0.59920,0.010537,208289,235.895,6782028
bunker,PT,1.00,130,27.1626,0.59861,0.010481,209140,312.918,6808640
bunker,PT,1.00,131,27.2688,0.60042,0.010300,207910,356.824,6755812
bunker,PT,1.00,132,27.3240,0.60166,0.010600,208285,194.113,6780984
bunker,PT,1.00,133,27.1850,0.60000,0.010850,208903,183.194,6800707
bunker,PT,1.00,134,27.2536,0.59980,0.010504,207856,172.873,6780558
bunker,PT,1.00,135,27.3393,0.60130,0.010419,208089,182.897,6776383
bunker,PT,1.00,136,27.2335,0.60242,0.010615,208411,179.709,6790484
bunker,PT,1.00,137,27.3837,0.60757,0.009972,208376,182.809,6792979
bunker,PT,1.00,138,27.4816,0.60863,0.010093,207398,161.350,6761360
bunker,PT,1.00,139,27.5345,0.60874,0.010391,207291,159.612,6739921
bunker,PT,1.00,140,27.5783,0.60867,0.010510,208891,192.359,6788950
bunker,PT,1.00,141,27.5271,0.60568,0.011093,207900,157.677,6760149
bunker,PT,1.00,142,27.6494,0.61020,0.010202,208589,164.587,6770474
bunker,PT,1.00,143,27.5440,0.60983,0.010714,208327,165.612,6791139
bunker,PT,1.00,144,27.5975,0.60874,0.010484,208079,166.573,6774039
bunker,PT,1.00,145,27.4177,0.60724,0.010584,207601,189.220,6755077
bunker,PT,1.00,146,27.4644,0.60831,0.010157,207490,167.545,6760695
bunker,PT,1.00,147,27.5417,0.61052,0.010419,207719,210.839,6752199
bunker,PT,1.00,148,27.6364,0.61220,0.010204,207889,184.950,6762575
bunker,PT,1.00,149,27.6652,0.61202,0.010244,208372,186.866,6775675
bunker,DDGI,1.00,0,15.0222,0.29972,0.000000,106753,185.022,2754104
bunker,DDGI,1.00,1,17.0695,0.45560,0.040905,106868,163.987,2778420
bunker,DDGI,1.00,2,18.4312,0.52060,0.021204,106880,181.141,2781498
bunker,DDGI,1.00,3,19.5547,0.56083,0.015963,107161,192.117,2785556
bunker,DDGI,1.00,4,20.3879,0.58625,0.011968,107044,144.775,2776123
bunker,DDGI,1.00,5,21.1039,0.60445,0.009271,106860,179.802,2767782
bunker,DDGI,1.00,6,21.6638,0.61587,0.006751,106687,196.110,2759081
bunker,DDGI,1.00,7,22.1524,0.62587,0.005667,107052,174.165,2774860
bunker,DDGI,1.00,8,22.6085,0.63175,0.005962,106522,150.554,2759636
bunker,DDGI,1.00,9,23.0329,0.63650,0.003923,106279,161.987,2744752
bunker,DDGI,1.00,10,23.3739,0.64030,0.004697,106802,158.694,2773267
bunker,DDGI,1.00,11,23.7628,0.64401,0.004652,107182,144.870,2792097
bunker,DDGI,1.00,12,24.2042,0.64748,0.005659,106967,141.561,2777309
bunker,DDGI,1.00,13,24.6080,0.65098,0.004912,106986,175.242,2776116
bunker,DDGI,1.00,14,25.0301,0.65313,0.004551,107225,156.392,2778987
bunker,DDGI,1.00,15,25.3796,0.65536,0.003701,106743,132.841,2763659
bunker,DDGI,1.00,16,25.6550,0.65760,0.003335,106762,190.655,2765930
bunker,DDGI,1.00,17,25.9392,0.65982,0.003426,106934,165.068,2773442
bunker,DDGI,1.00,18,26.1334,0.66117,0.002799,106459,156.676,2754227
bunker,DDGI,1.00,19,26.3650,0.66197,0.002788,106452,162.021,2756496
bunker,DDGI,1.00,20,26.6364,0.66258,0.003395,107106,127.610,2786297
bunker,DDGI,1.00,21,26.8274,0.66442,0.003088,107248,165.907,2793223
bunker,DDGI,1.00,22,27.0849,0.66553,0.003108,106917,156.619,2769552
bunker,DDGI,1.00,23,27.2933,0.66632,0.003092,106699,167.005,2759226
bunker,DDGI,1.00,24,27.5624,0.66783,0.003005,107170,169.232,2777476
bunker,DDGI,1.00,25,27.8814,0.66924,0.003303,107011,133.417,2774843
bunker,DDGI,1.00,26,27.9413,0.66933,0.002272,106731,162.571,2769340
bunker,DDGI,1.00,27,28.0976,0.67003,0.002487,106550,166.173,2756248
bunker,DDGI,1.00,28,28.2100,0.67025,0.001778,106630,143.501,2758041
bunker,DDGI,1.00,29,28.3803,0.67067,0.003062,106879,174.875,2775018
bunker,DDGI,1.00,30,28.5067,0.66991,0.002896,106867,165.765,2779018
bunker,DDGI,1.00,31,28.6829,0.67037,0.003411,107280,140.767,2786049
bunker,DDGI,1.00,32,28.7526,0.67112,0.001808,106977,146.417,2774764
bunker,DDGI,1.00,33,28.8157,0.67133,0.002767,106748,150.075,2763651
bunker,DDGI,1.00,34,28.9738,0.67162,0.002347,107018,167.202,2772586
bunker,DDGI,1.00,35,28.8646,0.67148,0.002828,106985,172.946,2782654
bunker,DDGI,1.00,36,28.9789,0.67208,0.002205,106347,152.526,2752826
bunker,DDGI,1.00,37,29.0446,0.67222,0.001757,106302,148.361,2744579
bunker,DDGI,1.00,38,29.1102,0.67215,0.003036,106985,165.265,2780624
bunker,DDGI,1.00,39,29.1117,0.67259,0.002145,106982,176.515,2779478
bunker,DDGI,1.00,40,29.0797,0.67214,0.002206,106924,162.081,2778547
bunker,DDGI,1.00,41,29.0956,0.67230,0.002258,107224,144.430,2783861
bunker,DDGI,1.00,42,29.1540,0.67222,0.002188,107002,158.724,2774819
bunker,DDGI,1.00,43,29.1375,0.67179,0.001740,106930,166.768,2768642
bunker,DDGI,1.00,44,29.2382,0.67280,0.002089,106909,147.401,2771120
bunker,DDGI,1.00,45,29.2443,0.67259,0.002355,106628,174.932,2762436
bunker,DDGI,1.00,46,29.2802,0.67348,0.001524,106374,166.637,2750058
bunker,DDGI,1.00,47,29.2690,0.67429,0.002198,106669,152.041,2767545
bunker,DDGI,1.00,48,29.3162,0.67338,0.002518,107219,151.219,2786816
bunker,DDGI,1.00,49,29.2610,0.67271,0.001808,107026,165.502,2782471
bunker,DDGI,1.00,50,29.2887,0.67248,0.001605,106932,163.832,2773487
bunker,DDGI,1.00,51,29.2873,0.67311,0.001872,107066,177.414,2772185
bunker,DDGI,1.00,52,29.2817,0.67266,0.001697,106985,178.821,2774545
bunker,DDGI,1.00,53,29.2526,0.67192,0.001282,106844,145.103,2769030
bunker,DDGI,1.00,54,29.2248,0.67230,0.001883,106652,162.567,2766711
bunker,DDGI,1.00,55,29.1338,0.67136,0.002287,106561,179.726,2756466
bunker,DDGI,1.00,56,29.1914,0.67203,0.001545,106564,172.815,2756333
bunker,DDGI,1.00,57,29.1342,0.67158,0.001867,106804,126.945,2775555
