"scene","method","mult","rows","pre_psnr","post_psnr","pre_gpsnr","post_gpsnr","pre_ssim","post_ssim","mean_ms","mean_rays","flicker_late"
"bunker","DDGI","0.50","150","28.874406666666676","27.48728666666667","28.929206666666666","28.825813333333333","0.6805599999999999","0.7200846666666666","98.15052666666668","53517.073333333334","0.00149092"
"bunker","DDGI","1.00","150","28.94433333333333","27.02958666666667","28.707086666666665","28.67962","0.6698546666666666","0.7124206666666667","183.98595999999998","107035.36666666667","0.00274916"
"bunker","FCGIX","1.00","150","31.266799999999996","31.667399999999997","28.94936666666667","29.29681333333333","0.6862633333333332","0.7364606666666667","71.47311333333332","105996.47333333333","0.0019911200000000003"
"bunker","PT","0.50","150","26.52125333333333","26.967100000000002","26.239293333333332","26.427853333333328","0.5192859999999999","0.5953053333333334","75.84105999999997","69365.73333333334","0.005460499999999998"
"bunker","PT","1.00","150","27.137726666666666","28.442653333333332","27.76829333333334","28.644446666666667","0.6058093333333333","0.6867026666666667","114.7701666666666","208158.74666666667","0.0104812"
"bunker","PTP","0.50","150","29.678206666666664","29.38410666666667","29.761533333333333","29.290206666666666","0.7012993333333334","0.7474","48.836573333333334","83268.59333333334","0.0022029"
"bunker","PTP","0.75","150","30.69262666666667","30.063413333333337","30.516799999999996","29.687440000000002","0.741242","0.772584","71.73838666666667","124914.19333333333","0.0018766999999999998"
"bunker","PTP","1.00","150","31.268813333333323","30.786186666666666","30.990579999999998","30.240479999999998","0.7643946666666666","0.790488","90.07326666666661","166595.52666666667","0.00166352"
"cavern","DDGI","1.00","150","26.951106666666668","28.040393333333334","28.873246666666667","28.972766666666665","0.8070780000000001","0.8052686666666666","65.28567999999999","50020.386666666665","0.003895840000000001"
"cavern","FCGIX","1.00","150","32.62629333333334","32.51650666666667","31.16063333333334","31.09602","0.8598626666666664","0.8435533333333335","63.72276666666666","135724.44","0.0034442799999999992"
"cavern","PT","1.00","150","31.202440000000003","30.995820000000002","29.952240000000007","29.74635333333333","0.8320866666666668","0.8165153333333335","88.23029333333331","236888.54666666666","0.0052002"
"cavern","PTP","0.50","150","31.86348666666667","31.474180000000004","30.439953333333328","30.136253333333336","0.8421379999999999","0.8350120000000001","40.652546666666666","94792.11333333333","0.0010925399999999997"
"cavern","PTP","0.75","150","32.565599999999996","32.06293333333334","30.923706666666664","30.54418666666667","0.8532753333333333","0.841892","54.99733333333335","142173.63333333333","0.0009372399999999998"
"cavern","PTP","1.00","150","32.86388","32.60472","31.144233333333332","30.92051333333334","0.8570513333333332","0.8487306666666666","69.43615999999999","189606.33333333334","0.0008341400000000001"
"courtyard","DDGI","1.00","150","32.662866666666666","34.77680666666666","31.202306666666665","33.55567333333333","0.9289193333333334","0.9718386666666666","69.48086000000002","83775.51333333334","0.00014554000000000002"
"courtyard","FCGIX","1.00","150","39.77031999999999","42.688486666666655","37.7514","41.17088666666667","0.9456060000000001","0.9826833333333334","41.97766666666665","89070.77333333333","0.00172814"
"courtyard","PT","1.00","150","37.278760000000005","40.26255333333333","35.535819999999994","39.209179999999996","0.9146653333333334","0.9736833333333335","33.649986666666656","80951.22666666667","0.0022374800000000005"
"courtyard","PTP","0.50","150","39.122373333333336","42.197446666666664","36.83724","40.645853333333335","0.93453","0.9800386666666667","18.031966666666662","32358.793333333335","0.00048426"
"courtyard","PTP","1.00","150","40.33734666666667","43.28908666666667","37.627359999999996","41.43482666666667","0.9437506666666667","0.983088","28.533020000000008","64774.886666666665","0.00035061999999999995"
"town","DDGI","0.50","150","29.59256666666666","32.07631333333333","34.30007333333333","34.75190666666666","0.9793699999999999","0.9823039999999998","69.22560666666666","46455.12666666666","0.00019255999999999999"
"town","DDGI","1.00","150","32.15562666666666","34.037659999999995","35.24070666666667","35.23449333333335","0.9839659999999999","0.9839186666666666","90.65158666666665","92276.35333333333","0.00012391999999999997"
"town","FCGIX","1.00","150","42.15406","41.90659333333333","39.97718666666666","39.58134666666667","0.9927333333333334","0.9918033333333333","49.13738","89685.43333333333","0.0009196599999999999"
"town","PT","0.50","150","41.41190666666667","40.939260000000004","39.68494","39.19986666666667","0.9916933333333334","0.9907526666666667","21.436579999999996","17596.88","0.00085096"
"town","PT","1.00","150","41.309999999999995","40.86078","39.583499999999994","39.12803333333334","0.9915033333333334","0.9904206666666668","30.153620000000004","52804.28","0.0015724200000000006"
"town","PTP","0.50","150","42.591739999999994","42.21518666666667","40.63986666666666","40.16797999999999","0.9933833333333334","0.9926999999999999","11.243173333333333","21144.566666666666","0.00034659999999999997"
"town","PTP","1.00","150","43.43988","42.90592666666667","41.2324","40.757353333333334","0.9944739999999999","0.9937146666666667","18.0496","42267.166666666664","0.00024644"
