method,budget,frame,psnr,rays,ms,steps
PT,1.0,85,27.0783,65932,31.419,4635616
PT,1.0,86,27.2228,65381,30.982,4589708
PT,1.0,87,27.4286,65738,31.066,4617989
PT,1.0,88,27.4855,65905,31.466,4606471
PT,1.0,89,27.4234,65917,32.206,4632375
PT,1.0,90,27.4471,65235,30.960,4589567
PT,1.0,91,27.5970,65905,31.812,4617858
PT,1.0,92,27.0330,65482,32.937,4587789
PT,1.0,93,27.1639,66260,32.145,4652452
PT,1.0,94,27.2691,66268,31.595,4650918
PT,1.0,95,27.4318,66171,32.190,4637774
PT,1.0,96,27.6342,65775,31.770,4622249
PT,1.0,97,27.6062,65499,31.205,4590395
PT,1.0,98,27.6836,66498,31.962,4676061
PT,1.0,99,27.7728,65334,31.650,4587983
PT,1.0,100,27.8523,66075,31.585,4618920
PT,1.0,101,27.9569,65749,31.455,4619809
PT,1.0,102,28.0175,65369,31.164,4586047
PT,1.0,103,28.0478,65906,31.847,4613233
PT,1.0,104,27.8071,66434,31.633,4677887
PT,1.0,105,27.6939,66121,31.441,4638440
PT,1.0,106,27.4072,65656,31.082,4609776
PT,1.0,107,27.6648,65765,31.306,4609740
PT,1.0,108,27.3969,66498,33.211,4662616
PT,1.0,109,27.4299,65948,32.824,4641277
PT,1.0,110,27.5675,65606,32.127,4585058
PT,1.0,111,27.5943,66245,31.873,4633253
PT,1.0,112,27.2086,66187,33.715,4651760
PT,1.0,113,26.8870,65620,31.641,4615406
PT,1.0,114,27.0616,65988,31.637,4642454
PT,1.0,115,27.1709,66617,31.887,4686775
PT,1.0,116,27.2801,66113,32.045,4633579
PT,1.0,117,27.0203,65592,31.575,4602571
PT,1.0,118,27.1694,65834,31.621,4627777
PT,1.0,119,27.4133,65503,31.561,4599322
PT,1.0,120,27.4003,66266,31.769,4663448
PT,1.0,121,27.5373,66172,31.584,4641817
PT,1.0,122,27.4633,66277,32.317,4642985
PT,1.0,123,27.5215,65940,31.728,4618126
PT,1.0,124,27.4909,66059,31.535,4625674
PT,1.0,125,27.4791,65915,31.686,4619180
PT,1.0,126,27.5510,65733,32.781,4622167
PT,1.0,127,25.3520,65709,31.239,4577697
PT,1.0,128,24.9135,65729,31.653,4609315
PT,1.0,129,24.9989,65633,31.490,4569685
PT,1.0,130,24.9141,66350,31.767,4650079
PT,1.0,131,25.1411,66624,31.953,4695338
PT,1.0,132,25.3394,65582,31.249,4591986
PT,1.0,133,25.5006,66632,32.184,4684660
PT,1.0,134,25.6796,65422,31.253,4586722
PT,1.0,135,25.9362,65824,31.302,4626745
PT,1.0,136,26.2007,64919,30.985,4550419
PT,1.0,137,26.3692,66262,31.570,4643876
PT,1.0,138,26.4327,66329,32.062,4673721
PT,1.0,139,26.3763,66485,31.845,4677866
PT,1.0,140,26.5798,65720,31.700,4631334
PT,1.0,141,26.5290,65673,32.438,4606122
PT,1.0,142,26.4444,66082,31.459,4638225
PT,1.0,143,26.7611,65956,33.467,4619068
PT,1.0,144,26.7904,66103,31.571,4637462
PT,1.0,145,27.0123,66641,31.592,4673443
PT,1.0,146,27.2312,65514,31.127,4592471
PT,1.0,147,27.2150,66298,31.415,4632614
PT,1.0,148,27.3649,65890,31.219,4606663
PT,1.0,149,27.4150,65219,31.220,4586079
DDGI,1.0,0,13.0432,34339,26.256,1914328
DDGI,1.0,1,14.0422,33525,26.420,2017188
DDGI,1.0,2,14.7507,33167,26.029,1863188
DDGI,1.0,3,15.4524,34669,25.837,1858838
DDGI,1.0,4,16.0253,33463,26.663,1952044
DDGI,1.0,5,16.6764,33510,26.543,1973599
DDGI,1.0,6,17.0105,33825,26.049,1870234
DDGI,1.0,7,17.4329,34227,25.933,1858647
DDGI,1.0,8,18.0188,33687,26.865,2040793
DDGI,1.0,9,18.3467,33275,26.573,1894801
DDGI,1.0,10,18.6076,34459,25.499,1821073
DDGI,1.0,11,19.1110,33820,27.038,1985890
DDGI,1.0,12,19.4713,33146,26.954,1948593
DDGI,1.0,13,19.6896,33849,26.887,1878466
DDGI,1.0,14,19.9809,34373,26.143,1862993
DDGI,1.0,15,20.3310,33532,26.877,1993687
DDGI,1.0,16,20.6060,33465,26.816,1930966
DDGI,1.0,17,20.8107,34327,25.706,1823242
DDGI,1.0,18,21.0253,33897,26.693,1959887
DDGI,1.0,19,21.2046,33398,27.002,1994906
DDGI,1.0,20,21.3435,33491,26.993,1843583
DDGI,1.0,21,21.5429,34645,26.236,1878179
DDGI,1.0,22,21.7317,33431,26.973,1990361
DDGI,1.0,23,21.8965,33317,28.397,1918014
DDGI,1.0,24,22.0455,34316,26.141,1852155
DDGI,1.0,25,22.2787,33696,26.236,1901856
DDGI,1.0,26,22.3911,33681,26.992,2029512
DDGI,1.0,27,22.5050,33376,26.275,1872108
DDGI,1.0,28,22.6661,34568,25.625,1829123
DDGI,1.0,29,22.8137,33586,27.698,2018947
DDGI,1.0,30,22.9537,33103,26.275,1908215
DDGI,1.0,31,23.1054,34288,26.070,1846886
DDGI,1.0,32,23.2068,34056,26.580,1927657
DDGI,1.0,33,23.2929,33414,26.584,1987986
DDGI,1.0,34,23.4221,33582,26.966,1914298
DDGI,1.0,35,23.5622,34478,25.627,1829363
DDGI,1.0,36,23.7245,33741,27.030,1997245
DDGI,1.0,37,23.8395,33399,26.655,1965584
DDGI,1.0,38,23.9312,33829,25.705,1813093
DDGI,1.0,39,24.0751,34323,26.901,1927226
DDGI,1.0,40,24.1882,33507,27.127,2018793
DDGI,1.0,41,24.2951,33277,26.283,1863293
DDGI,1.0,42,24.4971,34624,25.843,1855315
DDGI,1.0,43,24.6761,33372,26.807,1941202
DDGI,1.0,44,24.8038,33540,26.527,1991092
DDGI,1.0,45,24.9203,33913,26.033,1864662
DDGI,1.0,46,25.0045,34189,26.031,1862710
DDGI,1.0,47,25.1017,33683,27.313,2035287
DDGI,1.0,48,25.2040,33157,26.660,1882173
DDGI,1.0,49,25.3377,34574,25.982,1831933
DDGI,1.0,50,25.4222,33715,27.017,1987534
DDGI,1.0,51,25.5627,33238,26.393,1946262
DDGI,1.0,52,25.6147,33839,26.156,1884016
DDGI,1.0,53,25.7287,34313,26.017,1859032
DDGI,1.0,54,25.8496,33589,26.924,2006722
DDGI,1.0,55,25.9353,33420,26.643,1927797
DDGI,1.0,56,26.0803,34269,25.389,1802580
DDGI,1.0,57,26.2142,34010,27.408,1989680
DDGI,1.0,58,26.3043,33387,27.279,1992838
DDGI,1.0,59,26.4254,33485,26.259,1846243
DDGI,1.0,60,26.5578,34576,28.552,1874345
DDGI,1.0,61,26.6402,33361,28.225,1983353
DDGI,1.0,62,26.7449,33497,26.698,1925974
DDGI,1.0,63,26.8625,34318,25.768,1848385
DDGI,1.0,64,26.9389,33779,26.414,1910915
DDGI,1.0,65,27.0090,33689,27.090,2029621
DDGI,1.0,66,27.0824,33360,26.168,1861274
DDGI,1.0,67,27.1834,34513,25.529,1837570
DDGI,1.0,68,27.2250,33640,26.874,2016543
DDGI,1.0,69,27.3095,33104,26.304,1902061
DDGI,1.0,70,27.3837,34306,25.727,1859464
DDGI,1.0,71,27.4596,33983,26.463,1922357
DDGI,1.0,72,27.5714,33435,26.813,1991049
DDGI,1.0,73,27.6598,33542,27.181,1898950
DDGI,1.0,74,26.6853,34413,25.440,1823724
DDGI,1.0,75,21.7801,34060,27.403,2096124
DDGI,1.0,76,22.0138,33433,26.959,1977243
DDGI,1.0,77,22.2214,33951,26.050,1834687
DDGI,1.0,78,22.9511,34439,26.768,2014312
DDGI,1.0,79,23.2291,33621,26.972,2046481
DDGI,1.0,80,23.4475,33389,26.759,1892403
DDGI,1.0,81,23.8400,34695,26.199,1900661
DDGI,1.0,82,24.1924,33671,26.755,2025409
DDGI,1.0,83,24.4740,33647,27.176,2010795
DDGI,1.0,84,24.6839,33796,26.530,1857426
DDGI,1.0,85,24.9542,34413,26.525,1952781
DDGI,1.0,86,25.1179,33837,27.943,2091556
DDGI,1.0,87,25.2958,33181,26.547,1881280
DDGI,1.0,88,25.8172,34712,25.802,1882096
DDGI,1.0,89,25.9937,33964,29.540,2068558
DDGI,1.0,90,26.2098,33398,27.662,1978958
DDGI,1.0,91,26.5190,33903,26.400,1894475
DDGI,1.0,92,26.7210,34341,26.605,1920882
DDGI,1.0,93,26.8204,33910,26.852,2082229
DDGI,1.0,94,26.9480,33430,27.064,1933313
DDGI,1.0,95,27.1284,34300,25.507,1827245
DDGI,1.0,96,27.2006,34193,27.080,2078692
DDGI,1.0,97,27.3989,33482,26.775,2015072
DDGI,1.0,98,27.5373,33638,26.324,1861214
DDGI,1.0,99,27.6588,34693,26.112,1942678
DDGI,1.0,100,27.7015,33489,26.508,2032493
DDGI,1.0,101,27.8327,33634,26.768,1961738
DDGI,1.0,102,28.0717,34320,25.968,1865678
DDGI,1.0,103,28.1673,33908,27.233,2005578
DDGI,1.0,104,28.2418,33608,26.770,2046324
DDGI,1.0,105,28.3805,33328,26.717,1859310
DDGI,1.0,106,28.6851,34716,27.160,1906519
DDGI,1.0,107,28.7731,33830,27.608,2090335
DDGI,1.0,108,28.8530,33272,27.024,1919176
DDGI,1.0,109,28.9025,34232,27.167,1870540
DDGI,1.0,110,28.9221,34132,27.684,2002786
DDGI,1.0,111,28.9605,33625,26.886,2035212
DDGI,1.0,112,29.0605,33572,27.083,1907672
DDGI,1.0,113,29.1814,34446,25.924,1864485
DDGI,1.0,114,29.2639,34016,27.782,2100049
DDGI,1.0,115,29.3654,33259,31.139,1956717
DDGI,1.0,116,29.4390,33985,26.296,1828476
DDGI,1.0,117,29.3855,34412,28.284,2022990
DDGI,1.0,118,29.4144,33450,26.757,2032554
DDGI,1.0,119,29.3903,33527,26.247,1900296
DDGI,1.0,120,29.5481,34694,25.780,1895407
DDGI,1.0,121,29.6128,33731,26.545,2037914
DDGI,1.0,122,29.6986,33636,26.491,2012269
DDGI,1.0,123,29.7260,33835,26.372,1849335
DDGI,1.0,124,29.7290,34428,26.651,1972123
DDGI,1.0,125,29.7538,33860,27.277,2086853
DDGI,1.0,126,29.8078,33186,28.599,1870321
DDGI,1.0,127,29.8701,34743,25.814,1898441
DDGI,1.0,128,29.8946,33852,28.579,2058474
DDGI,1.0,129,29.7952,33524,27.574,1981468
DDGI,1.0,130,29.8555,33864,27.050,1889406
DDGI,1.0,131,29.8594,34259,26.322,1916987
DDGI,1.0,132,29.8657,33911,26.864,2091581
DDGI,1.0,133,29.9097,33393,26.245,1926705
DDGI,1.0,134,29.8543,34358,25.293,1830626
DDGI,1.0,135,29.7681,34150,26.826,2079389
DDGI,1.0,136,29.8196,33321,26.697,1992626
DDGI,1.0,137,29.8482,33700,26.219,1869783
DDGI,1.0,138,29.8340,34666,26.030,1946022
DDGI,1.0,139,29.3887,33541,26.715,2038591
DDGI,1.0,140,29.3203,33603,26.547,1958076
DDGI,1.0,141,29.3237,34320,25.626,1858868
DDGI,1.0,142,29.2404,34055,26.418,2022140
DDGI,1.0,143,29.3770,33616,26.880,2043051
DDGI,1.0,144,29.3918,33301,26.009,1850972
DDGI,1.0,145,29.4977,34839,25.827,1928999
DDGI,1.0,146,29.4577,33828,26.671,2082205
DDGI,1.0,147,29.4632,33285,25.877,1918282
DDGI,1.0,148,29.5128,34362,26.556,1888408
DDGI,1.0,149,29.6570,33987,26.500,1993285
FCGI,1.0,0,13.1942,33638,17.303,2366333
FCGI,1.0,1,14.2744,33545,15.937,2200937
FCGI,1.0,2,16.8902,32842,16.014,2301956
FCGI,1.0,3,18.8217,34289,16.253,2317860
FCGI,1.0,4,19.8809,32576,15.670,2205387
FCGI,1.0,5,20.8498,33700,16.091,2327696
FCGI,1.0,6,21.3140,33717,16.005,2228685
FCGI,1.0,7,21.9963,32742,16.025,2295888
FCGI,1.0,8,22.3956,34331,16.293,2337025
FCGI,1.0,9,22.7978,32599,17.255,2210410
FCGI,1.0,10,23.2224,33875,16.146,2315189
FCGI,1.0,11,23.4476,33651,15.731,2244171
FCGI,1.0,12,23.7890,33002,15.643,2286137
FCGI,1.0,13,23.9875,34186,16.307,2336520
FCGI,1.0,14,24.1959,32457,15.358,2185706
FCGI,1.0,15,24.4709,33910,16.334,2371149
FCGI,1.0,16,24.6193,33483,15.730,2223723
FCGI,1.0,17,24.8524,33014,15.727,2275689
FCGI,1.0,18,24.9859,34354,16.510,2361777
FCGI,1.0,19,25.1571,32539,15.337,2164176
FCGI,1.0,20,25.3394,33977,16.564,2391114
FCGI,1.0,21,25.4479,33487,15.636,2207075
FCGI,1.0,22,25.6136,33013,15.898,2305053
FCGI,1.0,23,25.7283,34247,16.485,2350652
FCGI,1.0,24,25.8612,32461,15.250,2146591
FCGI,1.0,25,25.9950,33898,16.538,2398488
FCGI,1.0,26,26.0837,33486,15.332,2180208
FCGI,1.0,27,26.2433,33222,16.058,2345784
FCGI,1.0,28,26.3571,34209,16.151,2322843
FCGI,1.0,29,26.4779,32424,15.222,2187561
FCGI,1.0,30,26.6175,33891,16.343,2385072
FCGI,1.0,31,26.7210,33258,15.285,2158467
FCGI,1.0,32,26.8771,33122,16.126,2357837
FCGI,1.0,33,26.9827,34278,15.895,2278038
FCGI,1.0,34,27.0764,32323,15.457,2225374
FCGI,1.0,35,27.2055,33899,16.217,2354423
FCGI,1.0,36,27.3026,33202,15.457,2190677
FCGI,1.0,37,27.4631,33161,16.460,2348336
FCGI,1.0,38,27.5544,34148,16.231,2266306
FCGI,1.0,39,27.6592,32403,15.600,2218921
FCGI,1.0,40,27.7765,34031,16.267,2331110
FCGI,1.0,41,27.8632,33228,15.758,2213203
FCGI,1.0,42,28.0017,33139,15.989,2307234
FCGI,1.0,43,28.0793,34175,16.190,2286616
FCGI,1.0,44,28.1851,32387,15.739,2220090
FCGI,1.0,45,28.2884,34056,16.654,2359447
FCGI,1.0,46,28.3523,33253,15.755,2210380
FCGI,1.0,47,28.4609,33297,16.079,2297842
FCGI,1.0,48,28.5403,34135,16.627,2313075
FCGI,1.0,49,28.6604,32410,15.552,2209996
FCGI,1.0,50,28.7436,34037,16.723,2369726
FCGI,1.0,51,28.8145,32936,15.785,2173788
FCGI,1.0,52,28.9389,33416,16.489,2345287
FCGI,1.0,53,29.0117,34074,16.473,2301914
FCGI,1.0,54,29.0937,32556,15.782,2194392
FCGI,1.0,55,29.1782,34109,16.980,2396011
FCGI,1.0,56,29.2139,33113,15.520,2151884
FCGI,1.0,57,29.3007,33433,17.207,2369132
FCGI,1.0,58,29.3747,33957,17.134,2267911
FCGI,1.0,59,29.4873,32615,16.365,2240812
FCGI,1.0,60,29.5604,34144,17.114,2390882
FCGI,1.0,61,29.6143,32878,15.861,2143275
FCGI,1.0,62,29.7288,33467,17.242,2376087
FCGI,1.0,63,29.7723,34021,17.414,2226631
FCGI,1.0,64,29.8922,32627,16.948,2275888
FCGI,1.0,65,29.9572,33957,17.667,2341665
FCGI,1.0,66,30.0097,32887,16.353,2167857
FCGI,1.0,67,30.1141,33499,17.549,2381927
FCGI,1.0,68,30.1835,33880,16.809,2226529
FCGI,1.0,69,30.2648,32653,18.356,2275350
FCGI,1.0,70,30.3292,34243,16.663,2319409
FCGI,1.0,71,30.4073,32953,15.947,2212936
FCGI,1.0,72,30.4805,33523,16.573,2355566
FCGI,1.0,73,30.5308,33909,16.141,2248175
FCGI,1.0,74,30.5925,32621,15.913,2272855
FCGI,1.0,75,22.3494,33031,17.186,2200046
FCGI,1.0,76,23.4306,33604,17.519,2389460
FCGI,1.0,77,23.8389,34256,16.527,2286588
FCGI,1.0,78,24.0239,32659,16.207,2298244
FCGI,1.0,79,24.2797,34203,17.481,2369706
FCGI,1.0,80,24.4071,33300,16.872,2248806
FCGI,1.0,81,24.6469,33483,17.682,2374195
FCGI,1.0,82,24.8338,34266,17.176,2330572
FCGI,1.0,83,24.9998,32521,16.668,2286195
FCGI,1.0,84,25.1156,34004,16.997,2337898
FCGI,1.0,85,25.2260,33383,17.360,2270908
FCGI,1.0,86,25.4462,33268,16.759,2310653
FCGI,1.0,87,25.5779,34363,17.485,2359475
FCGI,1.0,88,25.7163,32506,16.331,2246610
FCGI,1.0,89,25.8525,34072,18.004,2371539
FCGI,1.0,90,25.9504,33537,17.045,2286125
FCGI,1.0,91,26.1222,33002,16.639,2279643
FCGI,1.0,92,26.2249,34305,17.505,2401319
FCGI,1.0,93,26.3642,32548,16.017,2200832
FCGI,1.0,94,26.5073,34004,16.821,2388809
FCGI,1.0,95,26.6188,33629,16.329,2259620
FCGI,1.0,96,26.7856,32952,16.839,2297731
FCGI,1.0,97,26.8835,34282,17.366,2410944
FCGI,1.0,98,26.9825,32743,15.762,2204259
FCGI,1.0,99,27.1194,33827,16.662,2396053
FCGI,1.0,100,27.2100,33910,15.922,2252402
FCGI,1.0,101,27.3541,32873,16.284,2317142
FCGI,1.0,102,27.4631,34265,16.729,2390286
FCGI,1.0,103,27.5468,32757,16.298,2223240
FCGI,1.0,104,27.6893,33794,16.882,2380377
FCGI,1.0,105,27.7745,33960,16.290,2270875
FCGI,1.0,106,27.9312,32665,16.400,2309330
FCGI,1.0,107,28.0313,34235,17.157,2358462
FCGI,1.0,108,28.1293,33003,16.868,2251508
FCGI,1.0,109,28.2984,33606,17.582,2350229
FCGI,1.0,110,28.3742,34230,17.061,2334161
FCGI,1.0,111,28.5010,32389,16.368,2256069
FCGI,1.0,112,28.6064,34217,17.214,2371439
FCGI,1.0,113,28.6794,33267,16.298,2261513
FCGI,1.0,114,28.8072,33521,16.522,2313220
FCGI,1.0,115,28.8804,34299,20.084,2371876
FCGI,1.0,116,28.9875,32477,16.783,2222776
FCGI,1.0,117,29.0746,34172,17.884,2397614
FCGI,1.0,118,29.1331,33331,17.902,2239891
FCGI,1.0,119,29.2874,33194,17.756,2296276
FCGI,1.0,120,29.3707,34308,18.016,2387287
FCGI,1.0,121,29.4983,32419,16.263,2181966
FCGI,1.0,122,29.5818,34100,17.784,2414977
FCGI,1.0,123,29.6194,33475,17.810,2219103
FCGI,1.0,124,29.7149,33184,17.348,2349497
FCGI,1.0,125,29.7919,34295,17.443,2379443
FCGI,1.0,126,29.8822,32662,16.334,2226769
FCGI,1.0,127,29.9702,33877,17.570,2388394
FCGI,1.0,128,30.0422,33500,16.187,2219602
FCGI,1.0,129,30.1572,33171,17.031,2358922
FCGI,1.0,130,30.2165,34327,16.968,2368445
FCGI,1.0,131,30.2862,32721,16.137,2245155
FCGI,1.0,132,30.3888,33871,17.150,2356837
FCGI,1.0,133,30.4336,33989,16.260,2287619
FCGI,1.0,134,30.5287,32776,16.405,2312167
FCGI,1.0,135,30.5944,34257,16.907,2364704
FCGI,1.0,136,30.6476,32821,16.947,2251038
FCGI,1.0,137,30.7298,33778,17.943,2334914
FCGI,1.0,138,30.7973,34097,17.808,2337226
FCGI,1.0,139,30.8930,32672,17.017,2269285
FCGI,1.0,140,30.9602,34315,17.912,2394753
FCGI,1.0,141,31.0149,32886,16.949,2226962
FCGI,1.0,142,31.0873,33541,18.078,2345383
FCGI,1.0,143,31.1313,34188,17.741,2352745
FCGI,1.0,144,31.1877,32489,16.663,2222281
FCGI,1.0,145,31.2227,34126,17.685,2422768
FCGI,1.0,146,31.2817,33248,16.666,2203562
FCGI,1.0,147,31.3622,33525,18.000,2381487
FCGI,1.0,148,31.4054,34139,17.573,2354731
FCGI,1.0,149,31.4906,32469,16.505,2218551
PT,2.0,0,19.1035,105583,49.305,7341611
PT,2.0,1,20.7780,104875,49.962,7278444
PT,2.0,2,22.1043,106002,49.029,7364417
PT,2.0,3,23.1949,107202,49.671,7452168
PT,2.0,4,23.9073,104973,50.258,7313738
PT,2.0,5,24.6529,105159,48.496,7298873
PT,2.0,6,25.4186,104880,48.192,7279850
PT,2.0,7,25.9615,105377,48.501,7311796
PT,2.0,8,26.3946,106016,48.918,7384831
PT,2.0,9,26.7761,104454,48.137,7243886
PT,2.0,10,27.0683,105673,48.736,7300800
PT,2.0,11,27.2599,105087,48.287,7280930
PT,2.0,12,27.3810,105017,48.359,7313801
PT,2.0,13,27.5013,106206,48.976,7383629
PT,2.0,14,27.6583,105538,48.597,7347440
PT,2.0,15,27.9094,105090,48.296,7296672
PT,2.0,16,27.9724,105458,49.025,7326352
PT,2.0,17,27.9996,105166,48.842,7334825
PT,2.0,18,28.1308,105522,48.655,7348051
PT,2.0,19,28.1085,105538,48.671,7367819
PT,2.0,20,28.2030,104743,48.519,7296866
PT,2.0,21,28.0936,106629,49.214,7413543
PT,2.0,22,28.2920,104764,49.298,7286898
PT,2.0,23,28.0181,105085,48.413,7281192
PT,2.0,24,27.9252,105602,50.546,7313257
PT,2.0,25,27.7878,105706,48.790,7365741
PT,2.0,26,27.7491,105079,48.513,7322723
PT,2.0,27,27.8769,105077,48.247,7301105
PT,2.0,28,28.0541,105666,48.514,7330043
PT,2.0,29,28.1602,106029,49.556,7328606
PT,2.0,30,28.1096,105607,49.437,7347959
PT,2.0,31,28.1561,106099,48.995,7393467
PT,2.0,32,28.2219,105323,48.754,7328731
PT,2.0,33,28.3059,105589,48.708,7373031
PT,2.0,34,28.5819,105411,48.851,7317082
PT,2.0,35,28.2401,105650,48.597,7319873
PT,2.0,36,27.4923,105602,48.890,7358942
PT,2.0,37,27.3700,105972,49.342,7362133
PT,2.0,38,27.4903,105142,48.585,7313350
PT,2.0,39,27.4684,106178,48.964,7382758
PT,2.0,40,27.0138,104226,48.280,7263788
PT,2.0,41,27.2085,106305,48.829,7377298
PT,2.0,42,27.5543,105884,49.076,7352594
PT,2.0,43,27.5827,103988,48.278,7224074
PT,2.0,44,27.6157,105612,50.739,7351814
PT,2.0,45,27.7382,105944,48.806,7357247
PT,2.0,46,27.8468,104968,48.315,7293431
PT,2.0,47,27.7033,105371,48.715,7303768
PT,2.0,48,27.6716,104907,48.301,7257744
PT,2.0,49,27.7704,106136,48.838,7387614
PT,2.0,50,27.7899,105248,49.184,7295373
PT,2.0,51,28.0088,104339,47.951,7244311
PT,2.0,52,28.0512,104970,48.444,7300586
PT,2.0,53,27.8605,105261,49.191,7322258
PT,2.0,54,27.7338,104656,63.341,7242078
PT,2.0,55,27.5529,105926,49.335,7362248
PT,2.0,56,27.6267,105764,48.918,7344688
PT,2.0,57,27.6392,104478,48.966,7238175
PT,2.0,58,27.6597,105318,48.664,7314490
PT,2.0,59,27.7419,105495,48.767,7315228
PT,2.0,60,27.9415,105062,49.030,7354984
PT,2.0,61,27.0788,105199,48.736,7308055
PT,2.0,62,27.1798,105609,50.018,7343801
PT,2.0,63,27.4136,105614,49.050,7355640
PT,2.0,64,27.4351,105174,50.822,7304418
PT,2.0,65,27.5684,104981,48.406,7296938
PT,2.0,66,27.7046,104446,48.690,7248660
PT,2.0,67,27.8116,104957,49.039,7313187
PT,2.0,68,27.8350,105333,49.445,7343612
PT,2.0,69,27.8350,104189,48.003,7232689
PT,2.0,70,27.7952,104961,48.738,7285997
PT,2.0,71,27.4998,104599,48.162,7245388
PT,2.0,72,27.7548,105801,49.033,7364026
PT,2.0,73,27.4321,105464,49.718,7347041
PT,2.0,74,27.5388,105156,48.614,7307199
PT,2.0,75,23.0328,104902,49.556,7381769
PT,2.0,76,24.0922,104958,48.986,7354540
PT,2.0,77,24.7006,105773,49.436,7412912
PT,2.0,78,25.3540,104473,49.334,7314701
PT,2.0,79,25.9333,105735,49.439,7420195
PT,2.0,80,26.2112,105867,51.062,7427734
PT,2.0,81,26.6819,106363,49.524,7463061
PT,2.0,82,26.8334,106183,49.593,7429886
PT,2.0,83,27.0871,104446,49.152,7322927
PT,2.0,84,27.3336,105973,49.620,7416959
PT,2.0,85,27.6951,105780,49.488,7430901
PT,2.0,86,27.9951,105857,49.601,7408440
PT,2.0,87,28.2069,105405,49.321,7403609
PT,2.0,88,28.3254,106177,49.699,7478654
PT,2.0,89,28.4324,105609,49.676,7387467
PT,2.0,90,28.3045,105582,49.383,7412638
PT,2.0,91,28.1496,105725,49.576,7425840
PT,2.0,92,28.3330,106359,50.175,7469772
PT,2.0,93,28.3751,106146,49.624,7427078
PT,2.0,94,28.2710,105729,49.912,7406049
PT,2.0,95,26.6666,105278,49.070,7362219
PT,2.0,96,26.8254,104977,49.132,7361737
PT,2.0,97,26.9884,106095,50.171,7438008
PT,2.0,98,27.0187,105514,49.215,7398255
PT,2.0,99,26.9998,105665,50.519,7434183
PT,2.0,100,26.7659,105256,52.275,7399756
PT,2.0,101,26.8926,105392,50.556,7407490
PT,2.0,102,26.9732,104837,49.769,7372899
PT,2.0,103,27.2465,106349,50.105,7448280
PT,2.0,104,27.4195,105650,49.682,7428993
PT,2.0,105,27.5569,105263,49.805,7375306
PT,2.0,106,27.5625,105644,62.762,7407286
PT,2.0,107,27.5470,105980,66.608,7451195
PT,2.0,108,27.7031,104978,55.077,7359468
PT,2.0,109,27.7680,105023,50.414,7384237
PT,2.0,110,27.5637,104171,49.766,7310433
PT,2.0,111,27.4287,105544,49.507,7391881
PT,2.0,112,27.5748,105149,50.986,7376528
PT,2.0,113,27.7849,104723,50.110,7344007
PT,2.0,114,27.9842,104855,49.186,7374595
PT,2.0,115,28.1174,106640,51.197,7485788
PT,2.0,116,28.3076,106157,51.030,7464298
PT,2.0,117,28.3263,105562,51.238,7398989
PT,2.0,118,28.3067,104877,49.624,7362806
PT,2.0,119,28.3862,105645,52.010,7420153
PT,2.0,120,28.4804,105927,50.046,7429504
PT,2.0,121,28.6323,105329,49.412,7379153
PT,2.0,122,28.6690,104652,49.152,7363195
PT,2.0,123,28.6820,106991,50.429,7492655
PT,2.0,124,28.9131,106549,49.879,7488767
PT,2.0,125,28.6886,104906,50.321,7358297
PT,2.0,126,28.7287,105570,52.074,7418767
PT,2.0,127,28.8478,105191,51.521,7383306
PT,2.0,128,28.6735,104838,52.887,7370658
PT,2.0,129,28.8300,104330,53.140,7325457
PT,2.0,130,28.8702,106167,50.585,7455140
PT,2.0,131,28.8345,105212,51.821,7399451
PT,2.0,132,28.8244,105695,50.833,7417058
PT,2.0,133,28.8052,104856,48.987,7372134
PT,2.0,134,28.5499,104841,49.118,7341446
PT,2.0,135,28.5090,104710,49.486,7353774
PT,2.0,136,28.3776,105615,50.529,7400467
PT,2.0,137,28.4607,104671,51.117,7362990
PT,2.0,138,28.4660,105900,53.609,7429965
PT,2.0,139,28.4023,104947,52.290,7389611
PT,2.0,140,28.4857,104745,50.011,7337521
PT,2.0,141,28.6094,105438,49.514,7406640
PT,2.0,142,28.5201,105230,49.215,7382394
PT,2.0,143,28.5576,105434,49.524,7410868
PT,2.0,144,28.5662,106048,49.793,7439496
PT,2.0,145,28.6042,104581,48.870,7354780
PT,2.0,146,28.7112,105759,49.674,7434283
PT,2.0,147,28.7899,105070,51.459,7369998
PT,2.0,148,28.7941,104538,50.215,7304765
PT,2.0,149,28.7641,106109,52.271,7435033
DDGI,2.0,0,14.0422,67864,46.892,3931516
DDGI,2.0,1,15.4524,67836,45.525,3722026
DDGI,2.0,2,16.6764,66973,47.044,3925643
DDGI,2.0,3,17.4329,68052,47.369,3728881
DDGI,2.0,4,18.3467,66962,49.307,3935594
DDGI,2.0,5,19.1110,68279,49.626,3806963
DDGI,2.0,6,19.6896,66995,47.804,3827059
DDGI,2.0,7,20.3310,67905,47.265,3856680
DDGI,2.0,8,20.8107,67792,48.361,3754208
DDGI,2.0,9,21.2046,67295,49.845,3954793
DDGI,2.0,10,21.5429,68136,46.856,3721762
DDGI,2.0,11,21.8965,66748,47.936,3908375
DDGI,2.0,12,22.2787,68012,46.751,3754011
DDGI,2.0,13,22.5050,67057,47.385,3901620
DDGI,2.0,14,22.8137,68154,46.785,3848070
DDGI,2.0,15,23.1054,67391,46.466,3755101
DDGI,2.0,16,23.2929,67470,51.387,3915643
DDGI,2.0,17,23.5622,68060,46.804,3743661
